N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
2	Inverse Distance	Minkowski	Empty	8	0.929374	0.741573	0.752809
2	Inverse Distance	Minkowski	Empty	9	0.929374	0.741573	0.752809
2	Inverse Distance	Minkowski	Empty	10	0.929374	0.741573	0.756019
2	Negative Distance	Minkowski	Empty	1	0.927769	0.735955	0.749599
2	Negative Distance	Minkowski	Empty	2	0.929374	0.741573	0.756019
2	Negative Distance	Minkowski	Empty	3	0.929374	0.741573	0.747994
2	Negative Distance	Minkowski	Empty	4	0.929374	0.741573	0.747994
2	Negative Distance	Minkowski	Empty	5	0.929374	0.741573	0.747994
2	Negative Distance	Minkowski	Empty	6	0.929374	0.741573	0.747994
2	Negative Distance	Minkowski	Empty	7	0.929374	0.741573	0.747994
2	Negative Distance	Minkowski	Empty	8	0.929374	0.741573	0.752809
2	Negative Distance	Minkowski	Empty	9	0.929374	0.741573	0.752809
2	Negative Distance	Minkowski	Empty	10	0.929374	0.741573	0.756019
2	Hump	Minkowski	Empty	1	0.927769	0.730337	0.751204
2	Hump	Minkowski	Empty	2	0.929374	0.735955	0.757624
2	Hump	Minkowski	Empty	3	0.929374	0.735955	0.749599
2	Hump	Minkowski	Empty	4	0.929374	0.735955	0.749599
2	Hump	Minkowski	Empty	5	0.929374	0.735955	0.749599
2	Hump	Minkowski	Empty	6	0.929374	0.735955	0.749599
2	Hump	Minkowski	Empty	7	0.929374	0.735955	0.749599
2	Hump	Minkowski	Empty	8	0.929374	0.735955	0.754414
2	Hump	Minkowski	Empty	9	0.929374	0.735955	0.754414
2	Hump	Minkowski	Empty	10	0.929374	0.735955	0.757624
2	Decay	Minkowski	Empty	1	0.927769	0.735955	0.749599
2	Decay	Minkowski	Empty	2	0.929374	0.741573	0.756019
2	Decay	Minkowski	Empty	3	0.929374	0.741573	0.747994
2	Decay	Minkowski	Empty	4	0.929374	0.741573	0.747994
2	Decay	Minkowski	Empty	5	0.929374	0.741573	0.747994
2	Decay	Minkowski	Empty	6	0.929374	0.741573	0.747994
2	Decay	Minkowski	Empty	7	0.929374	0.741573	0.747994
2	Decay	Minkowski	Empty	8	0.929374	0.741573	0.752809
2	Decay	Minkowski	Empty	9	0.929374	0.741573	0.752809
2	Decay	Minkowski	Empty	10	0.929374	0.741573	0.756019
2	Normalized Negative Distance	Minkowski	Empty	1	0.927769	0.735955	0.749599
2	Normalized Negative Distance	Minkowski	Empty	2	0.929374	0.741573	0.756019
2	Normalized Negative Distance	Minkowski	Empty	3	0.929374	0.741573	0.747994
