N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
2	Inverse Distance	Minkowski	Empty	8	0.919743	0.747191	0.762440
2	Inverse Distance	Minkowski	Empty	9	0.919743	0.747191	0.764045
2	Inverse Distance	Minkowski	Empty	10	0.914928	0.730337	0.770465
2	Negative Distance	Minkowski	Empty	1	0.918138	0.735955	0.770465
2	Negative Distance	Minkowski	Empty	2	0.918138	0.741573	0.770465
2	Negative Distance	Minkowski	Empty	3	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	4	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	5	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	6	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	7	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	8	0.919743	0.747191	0.762440
2	Negative Distance	Minkowski	Empty	9	0.919743	0.747191	0.764045
2	Negative Distance	Minkowski	Empty	10	0.914928	0.730337	0.770465
2	Hump	Minkowski	Empty	1	0.918138	0.730337	0.768860
2	Hump	Minkowski	Empty	2	0.918138	0.735955	0.768860
2	Hump	Minkowski	Empty	3	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	4	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	5	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	6	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	7	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	8	0.919743	0.741573	0.760835
2	Hump	Minkowski	Empty	9	0.919743	0.741573	0.762440
2	Hump	Minkowski	Empty	10	0.914928	0.724719	0.768860
2	Decay	Minkowski	Empty	1	0.918138	0.735955	0.768860
2	Decay	Minkowski	Empty	2	0.918138	0.741573	0.768860
2	Decay	Minkowski	Empty	3	0.918138	0.741573	0.767255
2	Decay	Minkowski	Empty	4	0.918138	0.741573	0.767255
2	Decay	Minkowski	Empty	5	0.918138	0.741573	0.767255
2	Decay	Minkowski	Empty	6	0.918138	0.741573	0.767255
2	Decay	Minkowski	Empty	7	0.918138	0.741573	0.767255
2	Decay	Minkowski	Empty	8	0.919743	0.747191	0.760835
2	Decay	Minkowski	Empty	9	0.919743	0.747191	0.762440
2	Decay	Minkowski	Empty	10	0.914928	0.730337	0.768860
2	Normalized Negative Distance	Minkowski	Empty	1	0.918138	0.735955	0.770465
2	Normalized Negative Distance	Minkowski	Empty	2	0.918138	0.741573	0.770465
2	Normalized Negative Distance	Minkowski	Empty	3	0.918138	0.741573	0.768860
2	Normalized Negative Distance	Minkowski	Empty	4	0.918138	0.741573	0.768860
2	Normalized Negative Distance	Minkowski	Empty	5	0.918138	0.741573	0.768860
2	Normalized Negative Distance	Minkowski	Empty	6	0.918138	0.741573	0.768860
2	Normalized Negative Distance	Minkowski	Empty	7	0.918138	0.741573	0.768860
2	Normalized Negative Distance	Minkowski	Empty	8	0.919743	0.747191	0.762440
2	Normalized Negative Distance	Minkowski	Empty	9	0.919743	0.747191	0.764045
2	Normalized Negative Distance	Minkowski	Empty	10	0.914928	0.730337	0.770465
3	Always One	Minkowski	Empty	1	0.858748	0.730337	0.794543
3	Always One	Minkowski	Empty	2	0.853933	0.741573	0.796148
3	Always One	Minkowski	Empty	3	0.855538	0.747191	0.792937
3	Always One	Minkowski	Empty	4	0.855538	0.747191	0.792937
3	Always One	Minkowski	Empty	5	0.855538	0.747191	0.792937
3	Always One	Minkowski	Empty	6	0.855538	0.747191	0.792937
3	Always One	Minkowski	Empty	7	0.855538	0.747191	0.788122
3	Always One	Minkowski	Empty	8	0.860353	0.741573	0.783307
3	Always One	Minkowski	Empty	9	0.861958	0.741573	0.784912
3	Always One	Minkowski	Empty	10	0.855538	0.735955	0.789727
3	Inverse Distance	Minkowski	Empty	1	0.916533	0.719101	0.781701
3	Inverse Distance	Minkowski	Empty	2	0.916533	0.735955	0.781701
3	Inverse Distance	Minkowski	Empty	3	0.916533	0.735955	0.780096
3	Inverse Distance	Minkowski	Empty	4	0.916533	0.735955	0.780096
3	Inverse Distance	Minkowski	Empty	5	0.916533	0.735955	0.780096
3	Inverse Distance	Minkowski	Empty	6	0.916533	0.735955	0.780096
3	Inverse Distance	Minkowski	Empty	7	0.916533	0.735955	0.775281
3	Inverse Distance	Minkowski	Empty	8	0.916533	0.724719	0.776886
3	Inverse Distance	Minkowski	Empty	9	0.916533	0.724719	0.776886
3	Inverse Distance	Minkowski	Empty	10	0.916533	0.724719	0.783307
3	Negative Distance	Minkowski	Empty	1	0.861958	0.747191	0.728732
3	Negative Distance	Minkowski	Empty	2	0.860353	0.741573	0.725522
3	Negative Distance	Minkowski	Empty	3	0.858748	0.735955	0.728732
3	Negative Distance	Minkowski	Empty	4	0.858748	0.735955	0.728732
3	Negative Distance	Minkowski	Empty	5	0.858748	0.735955	0.728732
3	Negative Distance	Minkowski	Empty	6	0.858748	0.735955	0.728732
3	Negative Distance	Minkowski	Empty	7	0.858748	0.735955	0.725522
3	Negative Distance	Minkowski	Empty	8	0.858748	0.741573	0.723917
3	Negative Distance	Minkowski	Empty	9	0.860353	0.741573	0.720706
3	Negative Distance	Minkowski	Empty	10	0.863563	0.719101	0.727127
3	Hump	Minkowski	Empty	1	0.858748	0.730337	0.789727
3	Hump	Minkowski	Empty	2	0.853933	0.741573	0.791332
3	Hump	Minkowski	Empty	3	0.855538	0.747191	0.788122
3	Hump	Minkowski	Empty	4	0.855538	0.747191	0.788122
3	Hump	Minkowski	Empty	5	0.855538	0.747191	0.788122
3	Hump	Minkowski	Empty	6	0.855538	0.747191	0.788122
3	Hump	Minkowski	Empty	7	0.855538	0.747191	0.783307
3	Hump	Minkowski	Empty	8	0.860353	0.741573	0.778491
3	Hump	Minkowski	Empty	9	0.861958	0.741573	0.780096
3	Hump	Minkowski	Empty	10	0.855538	0.735955	0.784912
3	Decay	Minkowski	Empty	1	0.858748	0.730337	0.791332
3	Decay	Minkowski	Empty	2	0.853933	0.741573	0.791332
3	Decay	Minkowski	Empty	3	0.855538	0.747191	0.788122
3	Decay	Minkowski	Empty	4	0.855538	0.747191	0.788122
3	Decay	Minkowski	Empty	5	0.855538	0.747191	0.788122
3	Decay	Minkowski	Empty	6	0.855538	0.747191	0.788122
3	Decay	Minkowski	Empty	7	0.855538	0.747191	0.783307
3	Decay	Minkowski	Empty	8	0.860353	0.741573	0.778491
3	Decay	Minkowski	Empty	9	0.861958	0.741573	0.780096
3	Decay	Minkowski	Empty	10	0.855538	0.735955	0.784912
3	Normalized Negative Distance	Minkowski	Empty	1	0.916533	0.741573	0.767255
3	Normalized Negative Distance	Minkowski	Empty	2	0.916533	0.741573	0.768860
3	Normalized Negative Distance	Minkowski	Empty	3	0.916533	0.741573	0.767255
3	Normalized Negative Distance	Minkowski	Empty	4	0.916533	0.741573	0.767255
3	Normalized Negative Distance	Minkowski	Empty	5	0.916533	0.741573	0.767255
3	Normalized Negative Distance	Minkowski	Empty	6	0.916533	0.741573	0.767255
3	Normalized Negative Distance	Minkowski	Empty	7	0.916533	0.741573	0.762440
3	Normalized Negative Distance	Minkowski	Empty	8	0.916533	0.741573	0.764045
3	Normalized Negative Distance	Minkowski	Empty	9	0.916533	0.741573	0.765650
3	Normalized Negative Distance	Minkowski	Empty	10	0.916533	0.741573	0.768860
4	Always One	Minkowski	Empty	1	0.841091	0.758427	0.791332
4	Always One	Minkowski	Empty	2	0.841091	0.780899	0.792937
4	Always One	Minkowski	Empty	3	0.841091	0.780899	0.792937
4	Always One	Minkowski	Empty	4	0.841091	0.780899	0.792937
4	Always One	Minkowski	Empty	5	0.841091	0.780899	0.792937
4	Always One	Minkowski	Empty	6	0.841091	0.780899	0.792937
4	Always One	Minkowski	Empty	7	0.841091	0.780899	0.794543
4	Always One	Minkowski	Empty	8	0.841091	0.769663	0.792937
4	Always One	Minkowski	Empty	9	0.842697	0.769663	0.791332
4	Always One	Minkowski	Empty	10	0.836276	0.758427	0.788122
4	Inverse Distance	Minkowski	Empty	1	0.916533	0.724719	0.780096
4	Inverse Distance	Minkowski	Empty	2	0.902087	0.707865	0.780096
4	Inverse Distance	Minkowski	Empty	3	0.916533	0.735955	0.776886
4	Inverse Distance	Minkowski	Empty	4	0.916533	0.735955	0.776886
4	Inverse Distance	Minkowski	Empty	5	0.916533	0.735955	0.776886
4	Inverse Distance	Minkowski	Empty	6	0.916533	0.735955	0.776886
4	Inverse Distance	Minkowski	Empty	7	0.916533	0.735955	0.772071
4	Inverse Distance	Minkowski	Empty	8	0.916533	0.724719	0.775281
4	Inverse Distance	Minkowski	Empty	9	0.916533	0.724719	0.773676
4	Inverse Distance	Minkowski	Empty	10	0.916533	0.724719	0.781701
4	Negative Distance	Minkowski	Empty	1	0.789727	0.657303	0.720706
4	Negative Distance	Minkowski	Empty	2	0.773676	0.612360	0.717496
4	Negative Distance	Minkowski	Empty	3	0.789727	0.634831	0.714286
4	Negative Distance	Minkowski	Empty	4	0.789727	0.634831	0.714286
4	Negative Distance	Minkowski	Empty	5	0.789727	0.634831	0.714286
4	Negative Distance	Minkowski	Empty	6	0.789727	0.634831	0.714286
4	Negative Distance	Minkowski	Empty	7	0.789727	0.634831	0.709470
4	Negative Distance	Minkowski	Empty	8	0.794543	0.634831	0.712681
4	Negative Distance	Minkowski	Empty	9	0.796148	0.634831	0.711075
4	Negative Distance	Minkowski	Empty	10	0.789727	0.634831	0.720706
4	Hump	Minkowski	Empty	1	0.868379	0.747191	0.797753
4	Hump	Minkowski	Empty	2	0.868379	0.758427	0.800963
4	Hump	Minkowski	Empty	3	0.868379	0.758427	0.800963
4	Hump	Minkowski	Empty	4	0.868379	0.758427	0.800963
4	Hump	Minkowski	Empty	5	0.868379	0.758427	0.800963
4	Hump	Minkowski	Empty	6	0.868379	0.758427	0.800963
4	Hump	Minkowski	Empty	7	0.868379	0.758427	0.802568
4	Hump	Minkowski	Empty	8	0.868379	0.747191	0.802568
4	Hump	Minkowski	Empty	9	0.869984	0.747191	0.800963
4	Hump	Minkowski	Empty	10	0.863563	0.741573	0.800963
4	Decay	Minkowski	Empty	1	0.871589	0.741573	0.794543
4	Decay	Minkowski	Empty	2	0.871589	0.752809	0.796148
4	Decay	Minkowski	Empty	3	0.871589	0.752809	0.796148
4	Decay	Minkowski	Empty	4	0.871589	0.752809	0.796148
4	Decay	Minkowski	Empty	5	0.871589	0.752809	0.796148
4	Decay	Minkowski	Empty	6	0.871589	0.752809	0.796148
4	Decay	Minkowski	Empty	7	0.871589	0.752809	0.797753
4	Decay	Minkowski	Empty	8	0.871589	0.741573	0.799358
4	Decay	Minkowski	Empty	9	0.873194	0.741573	0.797753
